Name,Formato,Stato,Data di pubblicazione,Tipologia contenuto,Data di registrazione
"NEOGELA: monday, tuesday, wednesday… ogni giorno con una bevanda diversa",Reel,✅ Pubblicato,03/11/2025,Trend,15/09/2025
NEOGELA: preparo un cappuccino,Reel,Spostato in Notion MUVI Lab,,Trend,05/12/2025
NEOGELA: polvere dal telefono,Reel,💡 Idea,,Trend,
NEOGELA: doppia intervista Giulia e Dottore - come sono arrivati ad occuparsi di osteoporosi,Reel,🗓️ Programmato,20/10/2025,Aziendale,15/09/2025
LYNUP: va assunto a cicli?,Reel,✅ Pubblicato,06/10/2025,Domande dal blog,29/08/2025
LYNUP: la quantità di ingredienti in una capsula è sufficiente?,Reel,✅ Pubblicato,29/12/2025,Domande dal blog,16/10/2025
"LYNUP: seguo una terapia farmacologica per osteoporosi, posso prendere Lynup?",Reel,💻 Da montare,,Domande dal blog,17/11/2025
LYNUP: perché in menopausa si hanno dolori articolari,Reel,💡 Idea,,Informativo,
"LYNUP: dolori articolari, quando preoccuparsi?",Reel,🗓️ Programmato,24/11/2025,Informativo,29/08/2025
LYNUP: come ridurre il dolore articolare tipico della menopausa,Reel,🗓️ Programmato,02/12/2025,Consigli,16/10/2025
LYNUP: quanto magnesio assumere in menopausa,Reel,🗓️ Programmato,03/11/2025,Domande dal blog,29/08/2025
LYNUP: da dove derivano gli ingredienti di Lynup,Reel,💡 Idea,,Differenziazione,
LYNUP: assumo già collagene e vitamina D: posso prendere Lynup?,Reel,💻 Da montare,,Domande dal blog,16/10/2025
NEOGELA: quanto dura 1 barattolo di Neogela?,Reel,Spostato in Notion MUVI Lab,,Informativo,05/12/2025
NEOGELA: Che acqua bere in caso di osteoporosi? (IN COLLAB),Reel,Spostato in Notion MUVI Lab,,Consigli,03/04/2026
NEOGELA: Colazione super per le tue ossa (IN COLLAB),Reel,Spostato in Notion MUVI Lab,,Consigli,03/04/2026
NEOGELA: Cosa possono fare 5g di collagene al giorno assunti a partire dai 30 anni?,Reel,Spostato in Notion MUVI Lab,,Informativo,29/08/2025
NEOGELA: Come comportarsi a 20 anni per ossa forti in futuro (e tu fai queste cose),Reel,Spostato in Notion MUVI Lab,,Consigli,29/08/2025
NEOGELA: Rischi di una dieta principalmente a base di carboidrati (IN COLLAB),Reel,Spostato in Notion MUVI Lab,,Informativo,03/04/2026
"NEOGELA: Come avere ossa giovani a 50 anni ",Reel,Spostato in Notion MUVI Lab,,Consigli,29/08/2025
NEOGELA: Attività fisica ottimale dopo i 50 (IN COLLAB),Reel,Spostato in Notion MUVI Lab,,Consigli,25/11/2025
"NEOGELA: Errori più comuni di chi soffre di osteoporosi ",Reel,Spostato in Notion MUVI Lab,,Informativo,09/03/2026
NEOGELA: 3 buone abitudini quotidiane per chi soffre di osteoporosi (e tu fai queste cose),Reel,✅ Pubblicato,13/10/2025,Consigli,29/08/2025
NEOGELA: 3 buone abitudini quotidiane per chi soffre di artrosi (e tu fai queste cose),Reel,🗓️ Programmato,12/11/2025,Consigli,29/08/2025
NEOGELA: 3 cattive abitudini per la tua colonna vertebrale (IN COLLAB),Reel,Spostato in Notion MUVI Lab,,Informativo,25/11/2025
NEOGELA: Ecco come ho mantenuto stabili i miei valori di densità ossea negli ultimi 3 anni (CI VORREBBE ATTRICE),Reel,💡 Idea,,Consigli,
NEOGELA: Lo sapevi che…  a 25 anni circa raggiungi il tuo picco di massa ossea,Reel,Spostato in Notion MUVI Lab,,Informativo,05/12/2025
NEOGELA: Lo sapevi che… gli spinaci sono ottimi per le tue ossa,Reel,Spostato in Notion MUVI Lab,,Informativo,03/04/2026
NEOGELA: Perché le proteine sono così importanti per le ossa (IN COLLAB),Reel,Spostato in Notion MUVI Lab,,Informativo,03/04/2026
"NEOGELA: 3 attività che potresti tornare a fare grazie all’integrazione di collagene ",Reel,Spostato in Notion MUVI Lab,,Informativo,29/08/2025
NEOGELA: Reel 1 da video Youtube “Osteoporosi gravidica”,Reel,✅ Pubblicato,03/09/2025,Informativo,
"NEOGELA: Reel 2 da video Youtube “Osteoporosi gravidica” ",Reel,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: dame un grrr,Reel,✅ Pubblicato,22/09/2025,Trend,29/08/2025
NEOGELA: recensione partecipante in presenza Area Test (Marisa),Reel,✅ Pubblicato,09/10/2025,Differenziazione,27/09/2025
NEOGELA: carosello “Come agisce il collagene,Carosello,✅ Pubblicato,14/10/2025,,
NEOGELA: carosello “Come sono formate le ossa”,Carosello,✅ Pubblicato,08/10/2025,,
NEOGELA: storia donna con osteoporosi (Mascia),Reel,🗓️ Programmato,23/10/2025,Differenziazione,16/10/2025
NEOGELA: contenuto per Halloween,Reel,🗓️ Programmato,31/10/2025,Differenziazione,15/09/2025
LYNUP: Osteoporosi vuol dire,Carosello,✅ Pubblicato,14/10/2025,,
LYNUP: Osteoporosi vuol dire,Carosello,🗓️ Programmato,21/10/2025,,
LYNUP: contenuto per Halloween,Reel,🗓️ Programmato,31/10/2025,Differenziazione,15/09/2025
NEOGELA: Episodio 1 - Iniziativa sociale - Annuncio progetto e prime sensazioni,Reel,✅ Pubblicato,05/11/2025,Differenziazione,29/09/2025
NEOGELA: Episodio 2 - Iniziativa sociale - Esami pre percorso effettuati,Reel,🗓️ Programmato,17/11/2025,Differenziazione,29/09/2025
NEOGELA: Episodio 3 - Iniziativa sociale - Inizio percorso,Reel,Spostato in Notion MUVI Lab,,Differenziazione,29/09/2025
"NEOGELA: Episodio 4 - Iniziativa sociale - Metà percorso ",Reel,Spostato in Notion MUVI Lab,,Differenziazione,29/09/2025
"NEOGELA: Episodio 5 - Iniziativa sociale - Fine percorso ",Reel,💡 Idea,,Differenziazione,
NEOGELA: Episodio 6 - Iniziativa sociale - Recensione,Reel,💡 Idea,,Differenziazione,
NEOGELA: esperienza cliente con Neogela - video 1,Reel,Spostato in Notion MUVI Lab,,Social proof,29/09/2025
NEOGELA: esperienza cliente con Neogela - video 2,Reel,Spostato in Notion MUVI Lab,,Social proof,29/09/2025
NEOGELA: esperienza cliente con Neogela - video 3,Reel,Spostato in Notion MUVI Lab,,Social proof,29/09/2025
NEOGELA: Quando ho scoperto di avere l’osteoporosi mi sono sentita…,Reel,✅ Pubblicato,16/10/2025,Intervista,29/09/2025
NEOGELA: Quando ho ricevuto la diagnosi non sapevo a chi rivolgermi…,Reel,Spostato in Notion MUVI Lab,,Intervista,29/09/2025
NEOGELA: Il mio medico non mi aveva mai consigliato di fare la MOC…,Reel,Spostato in Notion MUVI Lab,,Intervista,29/09/2025
NEOGELA: Gli specialisti a cui mi sono rivolta mi hanno consigliato solo farmaci e nessuna alternativa…,Reel,Spostato in Notion MUVI Lab,,Intervista,29/09/2025
NEOGELA: Ho potuto ripetere la MOC dopo anni dalla prima ed ero peggiorata molto…,Reel,Spostato in Notion MUVI Lab,,Intervista,29/09/2025
NEOGELA: Mi sono informata online sugli effetti collaterali dei farmaci e mi sono spaventata…,Reel,Spostato in Notion MUVI Lab,,Intervista,29/09/2025
NEOGELA: Nessuno mi aveva detto che dovevo curare anche alimentazione e movimento…,Reel,Spostato in Notion MUVI Lab,,Intervista,29/09/2025
NEOGELA: Quando ho ricevuto la MOC non sapevo come interpretare i valori…,Reel,Spostato in Notion MUVI Lab,,Intervista,29/09/2025
NEOGELA: video riassunto giornata finale Area Test,Reel,🗓️ Programmato,27/10/2025,Differenziazione,27/09/2025
"NEOGELA: spiegazione scientifica caratteristiche collagene ",Reel,Spostato in Notion MUVI Lab,,EduCollagene,25/11/2025
LYNUP: storia per annunciare promo + invito a iscriversi alla mailing list,Storia,✅ Pubblicato,30/09/2025,Vendita,
"LYNUP: promo ",Storia,✅ Pubblicato,07/10/2025,Vendita,
NEOGELA: collagene in capsule vs. polvere,Reel,Spostato in Notion MUVI Lab,,Social proof,29/01/2026
"NEOGELA: hai letto “rischio alto frattura” nella MOC? ",Reel,Spostato in Notion MUVI Lab,,Informativo,25/11/2025
NEOGELA: prendo la vitamina D come faccio ad avere l’osteoporosi?2,Reel,Spostato in Notion MUVI Lab,,Domande dal blog,
NEOGELA: creatività adv branding collagene che si scioglie,Reel,🔎 Da revisionare,03/11/2025,ADS,29/09/2025
NEOGELA: creatività adv branding collagene varie bevande,Reel,🔎 Da revisionare,05/11/2025,ADS,
NEOGELA: branding barattolo fisso sfondo che cambia,Reel,Spostato in Notion MUVI Lab,01/12/2025,ADS,
LYNUP: Chi vuol essere sano,Reel,🗓️ Programmato,11/11/2025,Trend,
"LYNUP: carosello 4 cose che non devono mancare nella tua routine ",Carosello,🗓️ Programmato,10/11/2025,Informativo,
LYNUP: inizio Black Friday,Storia,✅ Pubblicato,28/11/2025,Vendita,
LYNUP: Quando ti rendi conto che…,Reel,🗓️ Programmato,26/11/2025,Trend,
NEOGELA: Storia metà promo,Storia,✅ Pubblicato,15/10/2025,,
LYNUP: post-it sotto la scarpa,Reel,🗓️ Programmato,29/11/2025,Trend,16/10/2025
NEOGELA: quando fai il video fai vedere bene,Reel,Spostato in Notion MUVI Lab,,Trend,
LYNUP: a volte è l’integratore che ti sceglie,Reel,💻 Da montare,,Trend,17/11/2025
LYNUP: wave your finger,Reel,🗓️ Programmato,06/11/2025,Trend,16/10/2025
LYNUP: la vitamina K2 può essere presa da tutti?,Reel,💻 Da montare,,Domande dal blog,17/11/2025
LYNUP: capsula che si apre (per pubblicazione chiedere a Erica),Reel,✅ Pubblicato,05/12/2025,Trend,16/10/2025
LYNUP: artosi e menopausa,Reel,💡 Idea,,Informativo,
LYNUP: come migliorare i sintomi dell’artrosi,Reel,💡 Idea,,Consigli,
LYNUP: artrosi e osteoporosi sono collegate?,Reel,💻 Da montare,,Informativo,17/11/2025
"LYNUP: cosa fare a 30 anni per non avere l’osteoporosi a 50 ",Reel,💻 Da montare,,Consigli,17/11/2025
LYNUP: la nostra esperienza con le patologie osteoarticolari,Reel,💻 Da montare,,Aziendale,17/11/2025
LYNUP: falso mito sulla vitamina K2,Reel,💻 Da montare,,Falso mito,17/11/2025
LYNUP: cibi si e cibi no per le tue articolazioni (in collab con nutrizionista),Reel,💡 Idea,,Consigli,
LYNUP: prendo gli ingredienti e li butto dentro un barattolo di Lynup enorme,Reel,💻 Da montare,,Trend,17/11/2025
NEOGELA: Campagna branding,Reel,✅ Pubblicato,06/11/2025,ADS,
NEOGELA: campagna vendita novembre,Reel,✅ Pubblicato,06/11/2025,ADS,
NEOGELA: campagna BF,Reel,✅ Pubblicato,27/11/2025 → 01/12/2025,ADS,
NEOGELA: Carosello - 5 segnali che le tue ossa hanno bisogno di supporto,Carosello,🗓️ Programmato,07/11/2025,Informativo,
NEOGELA: Carosello: hai questi risultati in moc? prova questi prodotti Neogela,Carosello,✅ Pubblicato,14/11/2025,Informativo,
NEOGELA: Carosello: errori alimentari per l’osteoporosi,Carosello,🗓️ Programmato,21/11/2025,Informativo,
NEOGELA: Carosello - 5 miti sul collagene,Carosello,🗓️ Programmato,26/11/2025,Informativo,
,,,22/12/2025,,
NEOGELA: video trend con domande clienti,Reel,Spostato in Notion MUVI Lab,,Trend,15/05/2026
NEOGELA: quanto tempo deve passare da una Moc all’altra?,Reel,Spostato in Notion MUVI Lab,,,09/03/2026
"NEOGELA: quando bastano abitudini corrette e quando serve un percorso di visite/esami
",Reel,Spostato in Notion MUVI Lab,,,09/03/2026
NEOGELA: 3 abitudini settimanali per ossa e articolazioni più forti,Reel,Spostato in Notion MUVI Lab,,Informativo,15/05/2026
NEOGELA: Posso allenarmi se ho osteopenia/osteoporosi?,Reel,Spostato in Notion MUVI Lab,,,15/05/2026
"NEOGELA: “Se ho familiarità per osteoporosi, come mi alleno in palestra?”",Reel,Spostato in Notion MUVI Lab,,,15/05/2026
NEOGELA: “Dolore al ginocchio durante sport o movimento: modifiche immediate all’allenamento”,Reel,Spostato in Notion MUVI Lab,,,15/05/2026
NEOGELA: Dolore articolare da movimento quotidiano: quando ascoltarlo,Reel,Spostato in Notion MUVI Lab,,,15/05/2026
"NEOGELA: Ho 30-40 anni, devo già preoccuparmi delle ossa?",Reel,Spostato in Notion MUVI Lab,,,15/05/2026
"NEOGELA: Se in famiglia c’è osteoporosi, cosa posso fare prima?",Reel,Spostato in Notion MUVI Lab,,,15/05/2026
"NEOGELA: “Neogela nella vita reale: ufficio, palestra, casa”",Reel,Spostato in Notion MUVI Lab,,,15/05/2026
