Name,Formato,Stato,Data di pubblicazione,Tipologia contenuto,Soggetto
NEOGELA: Episodio 3 - Iniziativa sociale - Inizio percorso,Reel,💻 Da montare,,Differenziazione,Michela Bon cliente
"NEOGELA: Episodio 4 - Iniziativa sociale - Metà percorso ",Reel,💻 Da montare,,Differenziazione,Michela Bon cliente
"NEOGELA: Episodio 5 - Iniziativa sociale - Fine percorso ",Reel,💡 Idea,,Differenziazione,Michela Bon cliente
NEOGELA: Episodio 6 - Iniziativa sociale - Recensione,Reel,💡 Idea,,Differenziazione,Michela Bon cliente
NEOGELA: esperienza cliente con Neogela - video 1,Reel,💻 Da montare,,Social proof,Michela Bon cliente
NEOGELA: esperienza cliente con Neogela - video 2,Reel,💻 Da montare,,Social proof,Michela Bon cliente
NEOGELA: esperienza cliente con Neogela - video 3,Reel,💻 Da montare,,Social proof,Michela Bon cliente
NEOGELA: Quando ho scoperto di avere l’osteoporosi mi sono sentita…,Reel,✅ Pubblicato,16/10/2025,Intervista,Michela Bon cliente
NEOGELA: Quando ho ricevuto la diagnosi non sapevo a chi rivolgermi…,Reel,💻 Da montare,,Intervista,Michela Bon cliente
NEOGELA: Il mio medico non mi aveva mai consigliato di fare la MOC…,Reel,💻 Da montare,,Intervista,Michela Bon cliente
NEOGELA: Gli specialisti a cui mi sono rivolta mi hanno consigliato solo farmaci e nessuna alternativa…,Reel,💻 Da montare,,Intervista,Michela Bon cliente
NEOGELA: Ho potuto ripetere la MOC dopo anni dalla prima ed ero peggiorata molto…,Reel,💻 Da montare,,Intervista,Michela Bon cliente
NEOGELA: Mi sono informata online sugli effetti collaterali dei farmaci e mi sono spaventata…,Reel,💻 Da montare,,Intervista,Michela Bon cliente
NEOGELA: Nessuno mi aveva detto che dovevo curare anche alimentazione e movimento…,Reel,💻 Da montare,,Intervista,Michela Bon cliente
NEOGELA: Quando ho ricevuto la MOC non sapevo come interpretare i valori…,Reel,💻 Da montare,,Intervista,Michela Bon cliente
NEOGELA: video riassunto giornata finale Area Test,Reel,🗓️ Programmato,27/10/2025,Differenziazione,
"NEOGELA: spiegazione scientifica caratteristiche collagene ",Reel,🎥 Da registrare,,EduCollagene,Dottore
LYNUP: storia per annunciare promo + invito a iscriversi alla mailing list,Storia,✅ Pubblicato,30/09/2025,Vendita,
"LYNUP: promo ",Storia,✅ Pubblicato,07/10/2025,Vendita,
"LYNUP: ultimi giorni di promo ",Storia,💪🏻 Da programmare,29/10/2025,Vendita,
NEOGELA: collagene in capsule vs. polvere,Reel,💡 Idea,,,
"NEOGELA: hai letto “rischio alto frattura” nella MOC? ",Reel,💡 Idea,,,
NEOGELA: prendo la vitamina D come faccio ad avere l’osteoporosi?,Reel,💡 Idea,,,Cliente
NEOGELA: creatività adv branding collagene che si scioglie,Reel,💻 Da montare,03/11/2025,ADS,
NEOGELA: creatività adv branding collagene varie bevande,Reel,💻 Da montare,05/11/2025,ADS,
NEOGELA: branding barattolo fisso sfondo che cambia,Reel,💻 Da montare,01/12/2025,ADS,
LYNUP: Chi vuol essere sano,Reel,💻 Da montare,11/11/2025,Trend,
"LYNUP: carosello 4 cose che non devono mancare nella tua routine ",Carosello,🏝️ Grafica da preparare,10/11/2025,Informativo,
LYNUP: inizio Black Friday,Storia,🏝️ Grafica da preparare,28/11/2025,Vendita,
LYNUP: Black Friday,Storia,🏝️ Grafica da preparare,29/11/2025,Vendita,
"LYNUP: Black Friday ",Storia,🏝️ Grafica da preparare,30/11/2025,Vendita,
LYNUP: Quando ti rendi conto che…,Reel,💻 Da montare,26/11/2025,Trend,
NEOGELA: Storia metà promo,Storia,✅ Pubblicato,15/10/2025,,
LYNUP: post-it sotto la scarpa,Reel,💻 Da montare,29/11/2025,Trend,
NEOGELA: quando fai il video fai vedere bene,Reel,🎥 Da registrare,,Trend,
LYNUP: a volte è l’integratore che ti sceglie,Reel,💡 Idea,,Trend,
LYNUP: wave your finger,Reel,💻 Da montare,06/11/2025,Trend,
LYNUP: la vitamina K2 può essere presa da tutti?,Reel,💡 Idea,,Domande dal blog,
LYNUP: capsula che si apre,Reel,💻 Da montare,,Trend,
LYNUP: artosi e menopausa,Reel,💡 Idea,,Informativo,
LYNUP: come migliorare i sintomi dell’artrosi,Reel,💡 Idea,,Consigli,
LYNUP: artrosi e osteoporosi sono collegate?,Reel,💡 Idea,,Informativo,
"LYNUP: cosa fare a 30 anni per non avere l’osteoporosi a 50 ",Reel,💡 Idea,,Consigli,
LYNUP: la nostra esperienza con le patologie osteoarticolari,Reel,💡 Idea,,Aziendale,
LYNUP: falso mito sulla vitamina K2,Reel,💡 Idea,,Falso mito,
LYNUP: cibi si e cibi no per le tue articolazioni,Reel,💡 Idea,,Consigli,
LYNUP: prendo gli ingredienti e li butto dentro un barattolo di Lynup enorme,Reel,💡 Idea,,Trend,
NEOGELA: Campagna branding,Reel,💡 Idea,06/11/2025,ADS,
NEOGELA: campagna vendita novembre,Reel,💡 Idea,06/11/2025,ADS,
NEOGELA: campagna BF,Reel,💡 Idea,27/11/2025 → 01/12/2025,ADS,
NEOGELA: Carosello - 5 segnali che le tue ossa hanno bisogno di supporto,Carosello,🏝️ Grafica da preparare,07/11/2025,Informativo,
NEOGELA: Carosello: hai questi risultati in moc? prova questi prodotti Neogela,Carosello,💡 Idea,14/11/2025,Informativo,
NEOGELA: Carosello: errori alimentari per l’osteoporosi,Carosello,💡 Idea,21/11/2025,Informativo,
NEOGELA: Carosello - 5 miti sul collagene,Carosello,💡 Idea,26/11/2025,Informativo,
